host_since,host_listings_count_total,host_listings_count_entire_homes,host_listings_count_private_rooms,host_listings_count_shared_rooms,locale,month_host_joined,host_response_proportion,host_acceptance_proportion,id_host
2013-10-28,1,1,0,0,Austin,10,1,0,9676984
2014-06-14,2,2,0,0,Austin,06,1,1,16787151
2014-05-20,34,34,0,0,Austin,05,0.98,0.98,15782486
2014-05-20,34,34,0,0,Austin,05,0.98,0.98,15782486
2014-05-20,34,34,0,0,Austin,05,0.98,0.98,15782486
2013-03-25,1,1,0,0,Austin,03,1,0.67,5628118
2014-07-15,6,6,0,0,Austin,07,0.93,0.97,18153980
2014-05-20,34,34,0,0,Austin,05,0.98,0.98,15782486
2011-06-26,4,2,2,0,Austin,06,1,0.85,746455
2013-09-04,1,1,0,0,Austin,09,1,1,8638145
2012-05-06,1,1,0,0,Austin,05,1,0.69,2304514
2010-02-11,12,12,0,0,Austin,02,1,1,80406
2014-07-24,1,1,0,0,Austin,07,1,1,18775364
2012-11-22,2,2,0,0,Austin,11,1,0.79,4218754
2013-04-02,1,1,0,0,Austin,04,1,0.67,5732962
2013-05-08,1,0,1,0,Austin,05,1,0.94,6297487
2011-02-24,1,0,1,0,Austin,02,1,0.33,408387
2014-08-09,1,1,0,0,Austin,08,1,0.78,19752181
2014-03-24,1,1,0,0,Austin,03,1,0.5,13490996
2014-08-18,1,1,0,0,Austin,08,1,1,20222913
2013-05-30,1,1,0,0,Austin,05,1,0.32,6655964
2011-10-04,1,1,0,0,Austin,10,1,0.52,1244317
2014-02-10,1,1,0,0,Austin,02,1,1,12101721
2011-12-09,21,21,0,0,Austin,12,0.98,0.99,1488733
2014-08-28,2,1,1,0,Austin,08,1,1,20657590
2014-08-28,2,1,1,0,Austin,08,1,1,20657590
2013-08-11,1,1,0,0,Austin,08,1,1,8083527
2011-07-10,4,3,1,0,Austin,07,1,1,802614
2013-07-18,10,6,4,0,Austin,07,0.96,0.64,7567467
2012-03-27,1,1,0,0,Austin,03,1,0.8,2016775
2013-11-27,5,5,0,0,Austin,11,1,1,10293287
2013-01-03,1,1,0,0,Austin,01,1,0.84,4580592
2014-09-07,2,2,0,0,Austin,09,0.9,0.91,21062087
2012-07-31,1,1,0,0,Austin,07,1,0.33,3113937
2014-09-09,1,1,0,0,Austin,09,1,0.96,21144180
2014-09-09,1,1,0,0,Austin,09,1,0.85,21149262
2012-03-01,11,11,0,0,Austin,02,1,0.85,1840480
2014-09-02,2,2,0,0,Austin,09,1,1,20868075
2011-12-09,21,21,0,0,Austin,12,0.98,0.99,1488733
2012-03-01,11,11,0,0,Austin,02,1,0.85,1840480
2010-03-02,1,1,0,0,Austin,03,1,0.57,87337
2013-03-04,1,1,0,0,Austin,03,1,1,5325474
2014-09-15,2,2,0,0,Austin,09,1,0.94,21382575
2014-02-20,2,0,2,0,Austin,02,1,0.83,12426659
2011-04-11,1,1,0,0,Austin,04,1,0.92,500123
2014-06-11,1,1,0,0,Austin,06,1,1,16675705
2013-11-21,3,3,0,0,Austin,11,1,1,10182576
2014-09-22,1,1,0,0,Austin,09,1,0.8,21637441
2012-07-14,7,7,0,0,Austin,07,1,0.99,2934425
2012-04-03,1,1,0,0,Austin,04,1,1,2064443
